repo		ablation	contracts/scan/results elapsed time
10/contracts	baseline	54c/1/9r (rc=255)	11.306	255
10/contracts	no_init_only	54c/1/9r (rc=255)	13.546	255
10/contracts	no_admin_benign	54c/1/9r (rc=255)	12.312	255
10/contracts	sink_none	54c/1/19r (rc=255)	12.885	255
10/contracts	sink_samevar	54c/1/19r (rc=255)	11.657	255
10/contracts	budget_0	54c/1/0r	13.572	0
10/contracts	budget_inf	54c/1/9r (rc=255)	12.070	255
100	baseline	42c/1/2r (rc=255)	19.245	255
100	no_init_only	42c/1/2r (rc=255)	19.338	255
100	no_admin_benign	42c/1/2r (rc=255)	18.762	255
100	sink_none	42c/1/2r (rc=255)	17.807	255
100	sink_samevar	42c/1/1r (rc=255)	18.511	255
100	budget_0	42c/1/0r	20.474	0
100	budget_inf	42c/1/2r (rc=255)	20.697	255
102	baseline	99c/1/10r (rc=255)	12.069	255
102	no_init_only	99c/1/9r (rc=255)	11.119	255
102	no_admin_benign	99c/1/12r (rc=255)	11.893	255
102	sink_none	99c/1/10r (rc=255)	10.781	255
102	sink_samevar	99c/1/4r (rc=255)	12.608	255
102	budget_0	99c/1/0r	10.038	0
102	budget_inf	99c/1/10r (rc=255)	11.279	255
103	baseline	30c/1/0r	16.982	0
103	no_init_only	30c/1/0r	15.939	0
103	no_admin_benign	30c/1/0r	16.987	0
103	sink_none	30c/1/0r	16.147	0
103	sink_samevar	30c/1/0r	16.214	0
103	budget_0	30c/1/0r	16.667	0
103	budget_inf	30c/1/0r	18.679	0
104/core-contracts	baseline	42c/1/1r (rc=255)	13.515	255
104/core-contracts	no_init_only	42c/1/1r (rc=255)	15.114	255
104/core-contracts	no_admin_benign	42c/1/1r (rc=255)	15.003	255
104/core-contracts	sink_none	42c/1/1r (rc=255)	12.477	255
104/core-contracts	sink_samevar	42c/1/1r (rc=255)	16.229	255
104/core-contracts	budget_0	42c/1/0r	13.175	0
104/core-contracts	budget_inf	42c/1/1r (rc=255)	13.582	255
107	baseline	100c/1/79r (rc=255)	26.315	255
107	no_init_only	100c/1/80r (rc=255)	25.090	255
107	no_admin_benign	100c/1/82r (rc=255)	26.260	255
107	sink_none	100c/1/82r (rc=255)	26.503	255
107	sink_samevar	100c/1/41r (rc=255)	21.861	255
107	budget_0	100c/1/0r	23.805	0
107	budget_inf	100c/1/80r (rc=255)	24.754	255
110	baseline	73c/1/44r (rc=255)	22.769	255
110	no_init_only	73c/1/44r (rc=255)	20.356	255
110	no_admin_benign	73c/1/56r (rc=255)	22.459	255
